Date,Open,High,Low,Close,Adj Close,Volume
2022-11-07,0.530000,0.535000,0.530000,0.535000,0.498088,2309800
2022-11-08,0.535000,0.535000,0.525000,0.530000,0.493433,3231700
2022-11-09,0.530000,0.530000,0.525000,0.530000,0.493433,3010300
2022-11-10,0.530000,0.535000,0.525000,0.535000,0.498088,2585400
2022-11-11,0.535000,0.540000,0.530000,0.535000,0.498088,6225300
2022-11-14,0.535000,0.540000,0.530000,0.530000,0.493433,2371800
2022-11-15,0.535000,0.540000,0.530000,0.535000,0.498088,4081900
2022-11-16,0.535000,0.540000,0.530000,0.540000,0.502743,4271400
2022-11-17,0.540000,0.540000,0.535000,0.540000,0.502743,652900
2022-11-18,0.535000,0.540000,0.535000,0.540000,0.502743,1767100
2022-11-21,0.540000,0.540000,0.535000,0.540000,0.502743,4288700
2022-11-22,0.540000,0.540000,0.535000,0.535000,0.498088,3668700
2022-11-23,0.540000,0.540000,0.535000,0.535000,0.498088,1166300
2022-11-24,0.540000,0.545000,0.535000,0.540000,0.502743,2062000
2022-11-25,0.545000,0.545000,0.540000,0.540000,0.502743,446300
2022-11-28,0.540000,0.545000,0.540000,0.540000,0.502743,749100
2022-11-29,0.545000,0.545000,0.540000,0.545000,0.507398,980500
2022-11-30,0.540000,0.545000,0.540000,0.540000,0.502743,1697600
2022-12-01,0.540000,0.545000,0.540000,0.545000,0.507398,1890900
2022-12-02,0.545000,0.550000,0.540000,0.550000,0.512053,9379900
2022-12-05,0.550000,0.550000,0.545000,0.550000,0.512053,519900
2022-12-06,0.550000,0.550000,0.545000,0.545000,0.507398,1474900
2022-12-07,0.545000,0.550000,0.540000,0.540000,0.502743,5161000
2022-12-08,0.545000,0.550000,0.540000,0.545000,0.507398,4368800
2022-12-09,0.545000,0.550000,0.545000,0.550000,0.512053,496300
2022-12-12,0.550000,0.550000,0.540000,0.545000,0.507398,3032800
2022-12-13,0.545000,0.545000,0.525000,0.540000,0.502743,22733900
2022-12-14,0.540000,0.540000,0.535000,0.535000,0.498088,923300
2022-12-15,0.540000,0.540000,0.535000,0.535000,0.498088,1247800
2022-12-16,0.535000,0.545000,0.535000,0.545000,0.507398,5442900
2022-12-19,0.540000,0.540000,0.535000,0.540000,0.502743,622500
2022-12-20,0.540000,0.540000,0.535000,0.540000,0.502743,1161700
2022-12-21,0.540000,0.545000,0.535000,0.540000,0.502743,1691000
2022-12-22,0.540000,0.545000,0.535000,0.540000,0.502743,5887800
2022-12-23,0.540000,0.545000,0.540000,0.545000,0.507398,404700
2022-12-27,0.545000,0.545000,0.540000,0.540000,0.502743,778000
2022-12-28,0.540000,0.545000,0.535000,0.540000,0.502743,5407400
2022-12-29,0.540000,0.545000,0.535000,0.540000,0.502743,2192400
2022-12-30,0.540000,0.545000,0.540000,0.540000,0.502743,588600
2023-01-03,0.540000,0.545000,0.540000,0.540000,0.502743,933900
2023-01-04,0.540000,0.545000,0.540000,0.545000,0.507398,1070300
2023-01-05,0.545000,0.550000,0.540000,0.550000,0.512053,3990000
2023-01-06,0.545000,0.550000,0.545000,0.545000,0.507398,815700
2023-01-09,0.550000,0.550000,0.540000,0.545000,0.507398,9278100
2023-01-10,0.545000,0.550000,0.540000,0.550000,0.512053,2671000
2023-01-11,0.550000,0.550000,0.545000,0.545000,0.507398,875800
2023-01-12,0.545000,0.550000,0.545000,0.550000,0.512053,254200
2023-01-13,0.545000,0.550000,0.545000,0.545000,0.507398,990100
2023-01-16,0.550000,0.550000,0.545000,0.545000,0.507398,1455400
2023-01-17,0.545000,0.550000,0.545000,0.545000,0.507398,1868100
2023-01-18,0.550000,0.550000,0.545000,0.550000,0.512053,767900
2023-01-19,0.550000,0.550000,0.545000,0.550000,0.512053,1631100
2023-01-20,0.550000,0.555000,0.545000,0.555000,0.516708,7421600
2023-01-25,0.555000,0.555000,0.550000,0.555000,0.516708,3171400
2023-01-26,0.550000,0.560000,0.550000,0.560000,0.521363,2958100
2023-01-27,0.560000,0.565000,0.555000,0.565000,0.526018,8876800
2023-01-30,0.565000,0.570000,0.565000,0.570000,0.530673,4274700
2023-01-31,0.570000,0.575000,0.565000,0.575000,0.535328,11377100
2023-02-01,0.575000,0.580000,0.570000,0.580000,0.539983,9165600
2023-02-02,0.580000,0.580000,0.570000,0.575000,0.535328,3509300
2023-02-03,0.575000,0.575000,0.565000,0.575000,0.535328,7612200
2023-02-06,0.555000,0.555000,0.545000,0.555000,0.534372,10654100
2023-02-07,0.550000,0.555000,0.540000,0.545000,0.524744,10091500
2023-02-08,0.545000,0.550000,0.545000,0.550000,0.529558,2345500
2023-02-09,0.550000,0.550000,0.545000,0.545000,0.524744,1033300
2023-02-10,0.545000,0.550000,0.545000,0.545000,0.524744,2786300
2023-02-13,0.550000,0.550000,0.545000,0.550000,0.529558,1620400
2023-02-14,0.550000,0.550000,0.540000,0.545000,0.524744,3600100
2023-02-15,0.545000,0.550000,0.540000,0.545000,0.524744,6093800
2023-02-16,0.545000,0.550000,0.540000,0.545000,0.524744,1774200
2023-02-17,0.545000,0.545000,0.530000,0.535000,0.515115,31140200
2023-02-20,0.540000,0.540000,0.535000,0.535000,0.515115,4575000
2023-02-21,0.540000,0.540000,0.535000,0.535000,0.515115,1353500
2023-02-22,0.540000,0.540000,0.530000,0.535000,0.515115,8307700
2023-02-23,0.535000,0.535000,0.530000,0.535000,0.515115,4397200
2023-02-24,0.535000,0.540000,0.530000,0.540000,0.519930,8669500
2023-02-27,0.535000,0.540000,0.535000,0.540000,0.519930,1707300
2023-02-28,0.540000,0.540000,0.530000,0.540000,0.519930,7794700
2023-03-01,0.535000,0.540000,0.535000,0.535000,0.515115,1086400
